article_url,counts
https://panow.com/2020/02/06/local-residents-take-a-stand-against-human-trafficking/,"KILL#9#Indigenous Women#4#Swift Current, Saskatchewan, Canada#CA#CA11#50.2833#-107.767#-574445;"
https://calgaryherald.com/news/local-news/albertas-new-mmiwg-working-group-to-begin-with-focus-on-resource-sector/wcm/21512e0d-86da-4fa3-91b5-567a95d7c93f,"KILL#206#Indigenous women#4#Grande Prairie, Alberta, Canada#CA#CA01#55.1667#-118.8#-565467;"
https://www.e-know.ca/regions/east-kootenay/looking-forward-to-more-from-tommy-orange/,KILL#200#Indians#1#Canada#CA#CA#60#-96#CA;CRISISLEX_CRISISLEXREC#200#Indians#1#Canada#CA#CA#60#-96#CA;CRISISLEX_T02_INJURED#200#Indians#1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#200#Indians#1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#200#Indians#1#Canada#CA#CA#60#-96#CA;
https://www.naturalgasworld.com/canadas-upstream-seeks-esg-brand-82492,KILL#100##1#Canada#CA#CA#60#-96#CA;
https://www.bclocalnews.com/entertainment/update-film-festival-cancelled-this-weekend-at-providence-farm/,KILL#5##1#Canada#CA#CA#60#-96#CA;
https://ici.radio-canada.ca/nouvelle/1732467/toronto-multiculturalisme-minorites-immigrants,KILL#20##1#Canada#CA#CA#60#-96#CA;CRISISLEX_CRISISLEXREC#20##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T02_INJURED#20##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#20##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#20##1#Canada#CA#CA#60#-96#CA;
https://www.brandonsun.com/local/Metis-veteran-receives-long-overdue-recognition-568327121.html,KILL#50##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#50##1#Canada#CA#CA#60#-96#CA;KILL#9#werent#1#Canada#CA#CA#60#-96#CA;
https://www.therecord.com/opinion-story/9870479-wet-suwet-en-blockades-rule-of-law-is-a-convenient-weapon/,KILL#2##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#2##1#Canada#CA#CA#60#-96#CA;
https://www.stcatharinesstandard.ca/ts/opinion/contributors/2020/09/29/its-difficult-but-the-horrors-of-residential-schools-must-never-be-forgotten.html,KILL#2000##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#2000##1#Canada#CA#CA#60#-96#CA;
https://www.sookenewsmirror.com/news/victoria-stolen-sisters-memorial-march-honours-remembers-missing-and-murdered/,"AFFECT#200##1#Canada#CA#CA#60#-96#CA;KILL#3##1#Canada#CA#CA#60#-96#CA;AFFECT#164##1#Canada#CA#CA#60#-96#CA;AFFECT#3#posters#4#Vancouver Island, British Columbia, Canada#CA#CA02#49.6667#-125.833#-575271;AFFECT#4##4#Vancouver Island, British Columbia, Canada#CA#CA02#49.6667#-125.833#-575271;KILL#2013##4#Vancouver Island, British Columbia, Canada#CA#CA02#49.6667#-125.833#-575271;"
https://www.sherwoodparknews.com/news/local-news/its-jaw-dropping-local-aussie-witnesses-wildfire-devastation,"KILL#25##4#Fort Mcmurray, Alberta, Canada#CA#CA01#56.7333#-111.383#-564818;KILL#800000000#animals#4#Sydney, New South Wales, Australia#AS#AS02#-33.8833#151.217#-1603135;CRISISLEX_T03_DEAD#800000000#animals#4#Sydney, New South Wales, Australia#AS#AS02#-33.8833#151.217#-1603135;KILL#2000000000##4#Sydney, New South Wales, Australia#AS#AS02#-33.8833#151.217#-1603135;CRISISLEX_T03_DEAD#2000000000##4#Sydney, New South Wales, Australia#AS#AS02#-33.8833#151.217#-1603135;AFFECT#2000##1#Canada#CA#CA#60#-96#CA;EVACUATION#2000##1#Canada#CA#CA#60#-96#CA;"
https://www.thompsoncitizen.net/news/nickel-belt/garden-hill-fire-death-a-symptom-of-first-nations-underfunding-says-mp-niki-ashton-1.24084634,KILL#3##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#3##1#Canada#CA#CA#60#-96#CA;
