article_url,themes
https://thestarphoenix.com/news/local-news/waiting-for-daleen-how-a-family-never-gave-up-their-search-for-justice,AFFECT;CRISISLEX_CRISISLEXREC;SECURITY_SERVICES;TAX_FNCACT;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;EDUCATION;WB_470_EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;TAX_FNCACT_TEACHER;TAX_FNCACT_CITIZENS;TAX_FNCACT_WOMAN;ETH_INDIGINOUS;TAX_FNCACT_VICTIM;MOVEMENT_GENERAL;KILL;TAX_FNCACT_WOMEN;BAN;TAX_FNCACT_JANITOR;MANMADE_DISASTER_IMPLIED;SOC_POINTSOFINTEREST_SCHOOL;SOC_POINTSOFINTEREST_HIGH_SCHOOL;TAX_FNCACT_BABY;TAX_DISEASE;TAX_DISEASE_MISCARRIAGE;URBAN;TAX_FNCACT_BOUNCER;TAX_FNCACT_QUEEN;TAX_FNCACT_MAN;RURAL;WB_168_ROADS_AND_HIGHWAYS;WB_135_TRANSPORT;WB_1803_TRANSPORT_INFRASTRUCTURE;WB_786_RURAL_ROADS;TAX_FNCACT_INVESTIGATOR;TAX_FNCACT_PRIVATE_INVESTIGATOR;TAX_FNCACT_CHILD;TAX_FNCACT_CRIMINAL;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;DELAY;SOC_GENERALCRIME;EPU_CATS_MIGRATION_FEAR_FEAR;TAX_FNCACT_BOSS;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICERS;TAX_FNCACT_OFFICERS;TAX_FNCACT_CRIMINALS;RECRUITMENT;WB_2670_JOBS;WB_1467_EDUCATION_FOR_ALL;WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS;WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET;WB_2453_ORGANIZED_CRIME;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_FOX;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_FNCACT_UNDERCOVER_OFFICER;EXHUMATION;TAX_FNCACT_CHIEF;TAX_FNCACT_POLICE_CHIEF;TAKE_OFFICE;WB_491_QUALITY_OF_EDUCATION;WB_2129_TEXTBOOKS;ARREST;TRIAL;TAX_WORLDMAMMALS_HUMAN;TAX_FNCACT_KILLER;TAX_FNCACT_VICTIMS;CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE;TAX_FNCACT_LAWYERS;CRISISLEX_T03_DEAD;TAX_ETHNICITY;TAX_ETHNICITY_INDIANS;SOC_POINTSOFINTEREST_PRISON;WB_2495_DETENTION_PRISON_AND_CORRECTIONS_REFORM;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_2490_NATIONAL_PROTECTION_AND_SECURITY;UNGP_CRIME_VIOLENCE;WB_2026_PREVENTION;WB_930_VIOLENCE_PREVENTION;WB_738_SOCIAL_COHESION;WB_134_SOCIAL_DEVELOPMENT;CRISISLEX_T11_UPDATESSYMPATHY;DISCRIMINATION;DISCRIMINATION_RACE;DISCRIMINATION_RACE_RACISM;UNGP_FREEDOM_FROM_DISCRIMINATION;UNGP_FORESTS_RIVERS_OCEANS;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;
https://panow.com/2020/02/06/local-residents-take-a-stand-against-human-trafficking/,AFFECT;KILL;TAX_ETHNICITY;TAX_ETHNICITY_INDIGENOUS;ETH_INDIGINOUS;TAX_FNCACT;TAX_FNCACT_WOMEN;TAX_FNCACT_CHILDREN;PROTEST;TAX_FNCACT_CHILD;TAX_DISEASE;TAX_DISEASE_TRAUMA;CRISISLEX_T11_UPDATESSYMPATHY;TRAFFIC;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_SHERI;MEDIA_SOCIAL;
https://calgaryherald.com/news/local-news/albertas-new-mmiwg-working-group-to-begin-with-focus-on-resource-sector/wcm/21512e0d-86da-4fa3-91b5-567a95d7c93f,AFFECT;KILL;TAX_ETHNICITY;TAX_ETHNICITY_INDIGENOUS;ETH_INDIGINOUS;TAX_FNCACT;TAX_FNCACT_WOMEN;TAX_FNCACT_MINISTER;CRISISLEX_CRISISLEXREC;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;UNGP_CRIME_VIOLENCE;EPU_ECONOMY_HISTORIC;GENDER_VIOLENCE;UNGP_GENDER_EQUALITY;TAX_FNCACT_WORKERS;RAPE;WB_742_YOUTH_AND_GENDER_BASED_VIOLENCE;WB_2443_RAPE_AND_SEXUAL_VIOLENCE;WB_738_SOCIAL_COHESION;WB_134_SOCIAL_DEVELOPMENT;DISCRIMINATION;DISCRIMINATION_RACE;DISCRIMINATION_RACE_RACISM;UNGP_FREEDOM_FROM_DISCRIMINATION;TAX_FNCACT_CRITIC;MEDIA_MSM;TAX_FNCACT_REPORTER;SELF_IDENTIFIED_ATROCITY;TERROR;ARMEDCONFLICT;WB_2507_HUMAN_RIGHTS_ABUSES_AND_VIOLATIONS;WB_2203_HUMAN_RIGHTS;WB_2509_GENOCIDE;SOC_GENERALCRIME;TAX_FNCACT_VICTIMS;CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE;EPU_ECONOMY;CRISISLEX_C07_SAFETY;TAX_FNCACT_CEO;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_DIRECTOR;TAX_FNCACT_EXECUTIVE_DIRECTOR;TAX_WORLDBIRDS;TAX_WORLDBIRDS_YELLOWHEAD;
https://www.burnabynow.com/indigenous-inmate-population-in-canada-surpasses-30-per-cent-1.24068587,AFFECT;TAX_FNCACT;TAX_FNCACT_INVESTIGATOR;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_PRISONS;WB_2495_DETENTION_PRISON_AND_CORRECTIONS_REFORM;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2490_NATIONAL_PROTECTION_AND_SECURITY;TAX_ETHNICITY;TAX_ETHNICITY_INDIGENOUS;ETH_INDIGINOUS;WB_2960_INDIGENOUS_PEOPLES;WB_421_SOCIAL_INCLUSION;WB_899_SOCIAL_SAFEGUARDS;WB_749_INDIGENOUS_PEOPLES;WB_933_ETHNIC_RELIGIOUS_AND_OTHER_MINORITIES;WB_134_SOCIAL_DEVELOPMENT;TAX_ETHNICITY_CANADIAN;POVERTY;CRISISLEX_C05_NEED_OF_SHELTERS;GENERAL_HEALTH;MEDICAL;KILL;CRISISLEX_T03_DEAD;WB_1331_HEALTH_TECHNOLOGIES;WB_2453_ORGANIZED_CRIME;WB_1350_PHARMACEUTICALS;WB_2433_CONFLICT_AND_VIOLENCE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2456_DRUGS_AND_NARCOTICS;TAX_DISEASE;TAX_DISEASE_DRUG_OVERDOSE;ARREST;TAX_FNCACT_MAN;TAX_ETHNICITY_INDIAN;SOC_POINTSOFINTEREST_PRISON;TRIAL;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;SOC_GENERALCRIME;URBAN;CRIME_COMMON_ROBBERY;WB_470_EDUCATION;TAX_FNCACT_JUDGE;TAX_FNCACT_CRIMINAL;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_1014_CRIMINAL_JUSTICE;WB_1406_DISEASES;WB_1430_MENTAL_HEALTH;WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY;CRISISLEX_CRISISLEXREC;UNGP_FORESTS_RIVERS_OCEANS;APPOINTMENT;TAX_FNCACT_DEPUTY;TAX_FNCACT_COMMISSIONER;TAX_FNCACT_ELDERS;WB_2474_DISARMAMENT_DEMOBILIZATION_REINTEGRATION;WB_932_DEMOBILISATION_DISARMAMENT_AND_REINTEGRATION;WB_738_SOCIAL_COHESION;WB_2471_PEACEKEEPING;TAX_DISEASE_FETAL_ALCOHOL;WB_2203_HUMAN_RIGHTS;WB_2482_RECONCILIATION;WB_2519_RESPONSES_TO_HUMAN_RIGHTS_ABUSES;TAX_FNCACT_WOMEN;USPEC_POLITICS_GENERAL1;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;SELF_IDENTIFIED_HUMAN_RIGHTS;UNGP_CRIME_VIOLENCE;
https://globalnews.ca/news/6507947/rcmp-seek-missing-duncan-man/,AFFECT;TAX_FNCACT;TAX_FNCACT_MAN;WB_137_WATER;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;KILL;
https://www.whitehorsestar.com/News/warming-yukon-river-adversely-affecting-salmon,AFFECT;TAX_WORLDFISH;TAX_WORLDFISH_SALMON;WB_137_WATER;TAX_ETHNICITY;TAX_ETHNICITY_CHINOOK;TAX_WORLDFISH_CHINOOK_SALMON;SCIENCE;TAX_FNCACT;TAX_FNCACT_SCIENTIST;CRISISLEX_O01_WEATHER;UNGP_FORESTS_RIVERS_OCEANS;EPU_CATS_MIGRATION_FEAR_MIGRATION;ENV_FISHERY;GENERAL_HEALTH;TAX_WORLDFISH_FISH;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMANS;WB_507_ENERGY_AND_EXTRACTIVES;WB_895_MINING_SYSTEMS;WB_896_GEOLOGICAL_MAPPING_AND_DATABASES;WB_2286_GEOLOGICAL_SURVEY;TAX_ECON_PRICE;USPEC_POLICY1;EPU_POLICY;EPU_POLICY_SPENDING;KILL;CRISISLEX_T03_DEAD;ECON_STOCKMARKET;TAX_WORLDFISH_PACIFIC_SALMON;TAX_FOODSTAPLES;TAX_FOODSTAPLES_EGGS;CRISISLEX_CRISISLEXREC;CRISISLEX_T02_INJURED;BORDER;TAX_FNCACT_CLIMATOLOGIST;ENV_CLIMATECHANGE;WB_567_CLIMATE_CHANGE;UNGP_CLIMATE_CHANGE_ACTION;USPEC_POLITICS_GENERAL1;TAX_FNCACT_PILOT;WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_1024_PUBLIC_INTERNATIONAL_LAW;WB_1026_TREATIES;WB_962_INTERNATIONAL_LAW;ETH_INDIGINOUS;TAX_FNCACT_MANAGERS;
https://www.e-know.ca/regions/east-kootenay/looking-forward-to-more-from-tommy-orange/,AFFECT;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_CHEYENNE;TAX_ETHNICITY;TAX_ETHNICITY_ARAPAHO;TAX_WORLDLANGUAGES_ARAPAHO;TAX_ETHNICITY_CANADIAN;EPU_POLICY;EPU_POLICY_POLITICAL;TAX_ETHNICITY_INDIGENOUS;ETH_INDIGINOUS;TAX_FNCACT;TAX_FNCACT_WRITER;TAX_ETHNICITY_INDIAN;TAX_FNCACT_AUTHOR;TAX_FNCACT_CHIEF;TAX_WORLDLANGUAGES_WAMPANOAGS;TAX_ETHNICITY_INDIANS;KILL;CRISISLEX_CRISISLEXREC;CRISISLEX_T02_INJURED;CRISISLEX_T03_DEAD;URBAN;EPU_CATS_MIGRATION_FEAR_MIGRATION;SELF_IDENTIFIED_ATROCITY;MANMADE_DISASTER_IMPLIED;TRAFFIC;CRISISLEX_T11_UPDATESSYMPATHY;TAX_WEAPONS;TAX_WEAPONS_FLARE;WOUND;TAX_FNCACT_MAN;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_MOUSE;TAX_WORLDMAMMALS_MICE;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES;WB_1777_FORESTS;WB_590_ECOSYSTEMS;UNGP_FORESTS_RIVERS_OCEANS;TAX_WORLDMAMMALS_BEARS;GENERAL_HEALTH;TAX_DISEASE;TAX_DISEASE_DISEASE;WB_1406_DISEASES;WB_621_HEALTH_NUTRITION_AND_POPULATION;UNGP_HEALTHCARE;
https://www.naturalgasworld.com/canadas-upstream-seeks-esg-brand-82492,AGRICULTURE;TAX_FNCACT;TAX_FNCACT_FARMER;TAX_ECON_PRICE;ENV_NATURALGAS;TAX_ETHNICITY;TAX_ETHNICITY_CANADIAN;EPU_ECONOMY_HISTORIC;TAX_FNCACT_LEADERS;MANMADE_DISASTER_IMPLIED;UNGP_FORESTS_RIVERS_OCEANS;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_831_GOVERNANCE;IDEOLOGY;ENV_OIL;TAX_FNCACT_MANAGER;TAX_FNCACT_FUND_MANAGER;TAX_FNCACT_FOUNDER;TAX_FNCACT_CHAIRMAN;TAX_FNCACT_CEO;TAX_FNCACT_PRODUCER;WB_134_SOCIAL_DEVELOPMENT;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;SELF_IDENTIFIED_HUMAN_RIGHTS;WB_2203_HUMAN_RIGHTS;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;UNGP_CRIME_VIOLENCE;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;SLFID_RULE_OF_LAW;TAX_FNCACT_WORKER;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVISTS;USPEC_UNCERTAINTY1;ENV_GREEN;TAX_FNCACT_MINISTER;LEADER;TAX_FNCACT_PRIME_MINISTER;CRISISLEX_CRISISLEXREC;ALLIANCE;TAX_FNCACT_DIRECTOR;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_1462_WATER_SANITATION_AND_HYGIENE;WB_635_PUBLIC_HEALTH;WB_621_HEALTH_NUTRITION_AND_POPULATION;TAX_FNCACT_DISTRIBUTOR;KILL;TRANSPARENCY;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_1226_INDUSTRIAL_CLUSTERS_AND_VALUE_CHAINS;TAX_FNCACT_CRITIC;USPEC_POLICY1;WB_1785_ENVIRONMENTAL_POLICIES_AND_INSTITUTIONS;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES;WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_598_ENVIRONMENTAL_MANAGEMENT;WB_849_ENVIRONMENTAL_LAWS_AND_REGULATIONS;TAX_FNCACT_ACTIVIST;MOVEMENT_ENVIRONMENTAL;TAX_FNCACT_LEADER;TAX_ETHNICITY_INDIGENOUS;ETH_INDIGINOUS;TAX_ETHNICITY_IROQUOIS;WB_2482_RECONCILIATION;WB_2519_RESPONSES_TO_HUMAN_RIGHTS_ABUSES;EPU_ECONOMY;TAX_FNCACT_SUPPORTERS;ARMEDCONFLICT;SLFID_NATURAL_RESOURCES;WB_471_ECONOMIC_GROWTH;WB_1078_DETERMINANTS_OF_GROWTH;WB_1079_COMMODITIES_AND_RESOURCES;ENV_FORESTRY;WB_436_FORESTRY;WB_1979_NATURAL_RESOURCE_MANAGEMENT;WB_435_AGRICULTURE_AND_FOOD_SECURITY;TAX_FNCACT_CHEERLEADER;USPEC_POLITICS_GENERAL1;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_CONSERVATIVE_PARTY;GENERAL_GOVERNMENT;EPU_POLICY_GOVERNMENT;UNGP_FREEDOM_FROM_DISCRIMINATION;DISCRIMINATION;EPU_CATS_TAXES;WB_1844_MARKET_BASED_CLIMATE_CHANGE_MITIGATION;WB_1845_CARBON_TAX;WB_579_CLIMATE_CHANGE_MITIGATION;WB_567_CLIMATE_CHANGE;EPU_POLICY_POLITICAL;AFFECT;WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES;WB_723_PUBLIC_ADMINISTRATION;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;TAX_FNCACT_GOVERNOR;TAX_FNCACT_GOVERNOR_GENERAL;ENV_CLIMATECHANGE;UNGP_CLIMATE_CHANGE_ACTION;ENV_COAL;WB_508_POWER_SYSTEMS;WB_507_ENERGY_AND_EXTRACTIVES;WB_511_COAL_FIRED_POWER;ECON_ELECTRICALGENERATION;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_SOCIAL;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;SCIENCE;EPU_POLICY_POLICY;EPU_POLICY_REGULATORY;
https://www.bclocalnews.com/entertainment/update-film-festival-cancelled-this-weekend-at-providence-farm/,AGRICULTURE;TAX_FNCACT;TAX_FNCACT_VOLUNTEERS;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;JUSTICE;MANMADE_DISASTER_IMPLIED;UNGP_FORESTS_RIVERS_OCEANS;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_WHALE;TAX_FNCACT_SETTLER;TAX_ETHNICITY;TAX_ETHNICITY_INDIGENOUS;ETH_INDIGINOUS;TAX_FNCACT_WALKER;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_FNCACT_HUNTER;TAX_FNCACT_GUIDE;TAX_WORLDMAMMALS_BEAR;WB_698_TRADE;TAX_FNCACT_FARMERS;KILL;DISCRIMINATION;UNGP_FREEDOM_FROM_DISCRIMINATION;TAX_WORLDFISH;TAX_WORLDFISH_SALMON;TAX_AGRICULHARMINSECTS;TAX_AGRICULHARMINSECTS_MONARCH_BUTTERFLY;EDUCATION;WB_470_EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;TAX_WORLDMAMMALS_WHALES;WB_615_GENDER;ENV_CLIMATECHANGE;WB_567_CLIMATE_CHANGE;CRISISLEX_CRISISLEXREC;UNGP_CLIMATE_CHANGE_ACTION;TAX_WORLDMAMMALS_HUMAN;CRISISLEX_T11_UPDATESSYMPATHY;TAX_FNCACT_MAN;CRISISLEX_T03_DEAD;RURAL;TRIAL;DISCRIMINATION_RACE;DISCRIMINATION_RACE_RACISM;TAX_FNCACT_CHILDREN;
https://www.barrierestarjournal.com/community/rainer-custom-cutting-continues-family-tradition-in-darfield/,AGRICULTURE;TAX_FOODSTAPLES;TAX_FOODSTAPLES_MEAT;UNGP_FORESTS_RIVERS_OCEANS;WB_135_TRANSPORT;WB_1803_TRANSPORT_INFRASTRUCTURE;WB_167_PORTS;TAX_FNCACT;TAX_FNCACT_CHILDREN;TAX_FNCACT_FATHER;KILL;CRISISLEX_T03_DEAD;EDUCATION;MANMADE_DISASTER_IMPLIED;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;SOC_POINTSOFINTEREST_HIGH_SCHOOL;TAX_FOODSTAPLES_MILK;TAX_FNCACT_CHILD;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KURTIS;CRISISLEX_CRISISLEXREC;TAX_DISEASE;TAX_DISEASE_HEART_ATTACK;TAX_WORLDLANGUAGES_ANGIE;EPU_ECONOMY_HISTORIC;WB_435_AGRICULTURE_AND_FOOD_SECURITY;WB_177_ANIMAL_PRODUCTION;WB_1949_CLIMATE_SMART_AGRICULTURE;DELAY;
