date,themes
20200201121500,AFFECT;CRISISLEX_CRISISLEXREC;SECURITY_SERVICES;TAX_FNCACT;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;EDUCATION;WB_470_EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;TAX_FNCACT_TEACHER;TAX_FNCACT_CITIZENS;TAX_FNCACT_WOMAN;ETH_INDIGINOUS;TAX_FNCACT_VICTIM;MOVEMENT_GENERAL;KILL;TAX_FNCACT_WOMEN;BAN;TAX_FNCACT_JANITOR;MANMADE_DISASTER_IMPLIED;SOC_POINTSOFINTEREST_SCHOOL;SOC_POINTSOFINTEREST_HIGH_SCHOOL;TAX_FNCACT_BABY;TAX_DISEASE;TAX_DISEASE_MISCARRIAGE;URBAN;TAX_FNCACT_BOUNCER;TAX_FNCACT_QUEEN;TAX_FNCACT_MAN;RURAL;WB_168_ROADS_AND_HIGHWAYS;WB_135_TRANSPORT;WB_1803_TRANSPORT_INFRASTRUCTURE;WB_786_RURAL_ROADS;TAX_FNCACT_INVESTIGATOR;TAX_FNCACT_PRIVATE_INVESTIGATOR;TAX_FNCACT_CHILD;TAX_FNCACT_CRIMINAL;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;DELAY;SOC_GENERALCRIME;EPU_CATS_MIGRATION_FEAR_FEAR;TAX_FNCACT_BOSS;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICERS;TAX_FNCACT_OFFICERS;TAX_FNCACT_CRIMINALS;RECRUITMENT;WB_2670_JOBS;WB_1467_EDUCATION_FOR_ALL;WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS;WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET;WB_2453_ORGANIZED_CRIME;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_FOX;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_FNCACT_UNDERCOVER_OFFICER;EXHUMATION;TAX_FNCACT_CHIEF;TAX_FNCACT_POLICE_CHIEF;TAKE_OFFICE;WB_491_QUALITY_OF_EDUCATION;WB_2129_TEXTBOOKS;ARREST;TRIAL;TAX_WORLDMAMMALS_HUMAN;TAX_FNCACT_KILLER;TAX_FNCACT_VICTIMS;CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE;TAX_FNCACT_LAWYERS;CRISISLEX_T03_DEAD;TAX_ETHNICITY;TAX_ETHNICITY_INDIANS;SOC_POINTSOFINTEREST_PRISON;WB_2495_DETENTION_PRISON_AND_CORRECTIONS_REFORM;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_2490_NATIONAL_PROTECTION_AND_SECURITY;UNGP_CRIME_VIOLENCE;WB_2026_PREVENTION;WB_930_VIOLENCE_PREVENTION;WB_738_SOCIAL_COHESION;WB_134_SOCIAL_DEVELOPMENT;CRISISLEX_T11_UPDATESSYMPATHY;DISCRIMINATION;DISCRIMINATION_RACE;DISCRIMINATION_RACE_RACISM;UNGP_FREEDOM_FROM_DISCRIMINATION;UNGP_FORESTS_RIVERS_OCEANS;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;
20160104214500,AFFECT;CRISISLEX_T02_INJURED;KILL;TAX_ETHNICITY;TAX_ETHNICITY_INDIGENOUS;ETH_INDIGINOUS;TAX_FNCACT;TAX_FNCACT_WOMEN;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;TAX_FNCACT_MINISTER;LEADER;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;CRISISLEX_T11_UPDATESSYMPATHY;TAX_FNCACT_COORDINATOR;TAX_FNCACT_ADMINISTRATOR;URBAN;POVERTY;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_DIRECTOR;TAX_FNCACT_EXECUTIVE_DIRECTOR;TAX_FNCACT_CRIMINAL;CRISISLEX_C07_SAFETY;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_MSM;USPEC_POLITICS_GENERAL1;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_LIBERAL_PARTY;TAX_ECON_PRICE;USPEC_POLICY1;EPU_POLICY_BUDGET;
20161110151500,AFFECT;CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE;KILL;TAX_ETHNICITY;TAX_ETHNICITY_INDIGENOUS;ETH_INDIGINOUS;TAX_FNCACT;TAX_FNCACT_WOMEN;CRISISLEX_CRISISLEXREC;TAX_FNCACT_WRITER;TAX_FNCACT_PRODUCER;TAX_FNCACT_VOLUNTEERS;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_BEAR;MOVEMENT_GENERAL;ENV_WATERWAYS;WB_1805_WATERWAYS;WB_135_TRANSPORT;WB_1803_TRANSPORT_INFRASTRUCTURE;CRISISLEX_T03_DEAD;EPU_CATS_MIGRATION_FEAR_FEAR;TAX_FNCACT_CHILDREN;LEADER;TAX_FNCACT_GOVERNOR;TAX_FNCACT_GOVERNOR_GENERAL;TAX_FNCACT_VOLUNTEER;MEDIA_MSM;SOC_SUICIDE;SOC_GENERALCRIME;WB_1406_DISEASES;WB_1437_SOCIAL_DETERMINANTS_FOR_HEALTH;WB_1438_ALCOHOL_AND_SUBSTANCE_ABUSE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY;CRISISLEX_T11_UPDATESSYMPATHY;TAX_FNCACT_JOURNALIST;
20190422051500,AFFECT;CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE;TAX_FNCACT;TAX_FNCACT_WOMEN;DRONES;TAX_ETHNICITY;TAX_ETHNICITY_INDIGENOUS;ETH_INDIGINOUS;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;KILL;TAX_FNCACT_WOMAN;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES;WB_1777_FORESTS;WB_590_ECOSYSTEMS;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT_VOLUNTEERS;TAX_FNCACT_LEADERS;TAX_FNCACT_SPIRITUAL_LEADERS;WB_1979_NATURAL_RESOURCE_MANAGEMENT;WB_435_AGRICULTURE_AND_FOOD_SECURITY;WB_1986_MOUNTAINS;NATURAL_DISASTER;NATURAL_DISASTER_FLOODING;CRISISLEX_C06_WATER_SANITATION;CRISISLEX_CRISISLEXREC;CRISISLEX_T01_CAUTION_ADVICE;TAX_FNCACT_FATHER;EPU_ECONOMY_HISTORIC;WB_855_LABOR_MARKETS;WB_1650_PUBLIC_EMPLOYMENT_SERVICES;WB_697_SOCIAL_PROTECTION_AND_LABOR;WB_1652_PLACEMENT;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_ETHNICITY_CANADIAN;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;UNGP_CRIME_VIOLENCE;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_FNCACT_COMMISSIONERS;CRISISLEX_T02_INJURED;TAX_FNCACT_OFFICIAL;TAX_FNCACT_COMMISSIONER;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;SELF_IDENTIFIED_HUMAN_RIGHTS;WB_2203_HUMAN_RIGHTS;TAX_AIDGROUPS;TAX_AIDGROUPS_AMNESTY_INTERNATIONAL;TAX_FNCACT_INVESTIGATOR;SCIENCE;TAX_FNCACT_RESEARCHER;TAX_FNCACT_SETTLERS;PROPERTY_RIGHTS;WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_1907_PERSONAL_PROPERTY_RIGHTS;WB_1039_PROPERTY_LAWS_AND_REGULATIONS;TAX_FNCACT_CHILDREN;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOLS;TAX_FNCACT_MAN;ENV_OIL;MANMADE_DISASTER_IMPLIED;ENV_MINING;TAX_FNCACT_WORKERS;WB_2745_JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE;WB_2670_JOBS;WB_2689_JOBS_DIAGNOSTICS;WB_2748_EMPLOYMENT;WB_1467_EDUCATION_FOR_ALL;WB_470_EDUCATION;WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS;WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET;WB_2727_MALE_WORKERS;WB_2725_CATEGORIES_OF_WORKERS;USPEC_POLICY1;EPU_CATS_TAXES;EPU_ECONOMY;DRUG_TRADE;WB_1331_HEALTH_TECHNOLOGIES;WB_2453_ORGANIZED_CRIME;WB_1350_PHARMACEUTICALS;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2456_DRUGS_AND_NARCOTICS;SLFID_ECONOMIC_POWER;DISCRIMINATION;DISCRIMINATION_RACE;DISCRIMINATION_RACE_RACIST;HUMAN_RIGHTS_ABUSES;HUMAN_RIGHTS_ABUSES_POLICE_BRUTALITY;UNREST_POLICEBRUTALITY;EPU_POLICY_POLICY;TAX_FNCACT_SPOKESPERSON;CLOSURE;WB_2482_RECONCILIATION;WB_2519_RESPONSES_TO_HUMAN_RIGHTS_ABUSES;WB_2960_INDIGENOUS_PEOPLES;WB_421_SOCIAL_INCLUSION;WB_899_SOCIAL_SAFEGUARDS;WB_749_INDIGENOUS_PEOPLES;WB_933_ETHNIC_RELIGIOUS_AND_OTHER_MINORITIES;WB_134_SOCIAL_DEVELOPMENT;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_840_JUSTICE;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;TAX_DISEASE;TAX_DISEASE_TRAUMA;CRISISLEX_T11_UPDATESSYMPATHY;TAX_FNCACT_CHIEF;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_CHIEF_COMMISSIONER;TAX_FNCACT_CHIEF_COMMISSIONER;TRANSPARENCY;WB_698_TRADE;
20150227174500,AFFECT;ETH_INDIGINOUS;TAX_FNCACT;TAX_FNCACT_WOMEN;KILL;TAX_FNCACT_LEADERS;TAX_FNCACT_MINISTER;TAX_ETHNICITY;TAX_ETHNICITY_CANADIAN;MEDIA_SOCIAL;TAX_FNCACT_AUTHORITIES;SOC_GENERALCRIME;TAX_FNCACT_STUDENT;ALLIANCE;TAX_AIDGROUPS;GENERAL_GOVERNMENT;EDUCATION;TAX_ETHNICITY_INDIGENOUS;
20160804051500,AFFECT;KILL;ETH_INDIGINOUS;TAX_FNCACT;TAX_FNCACT_WOMEN;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_ETHNICITY;TAX_ETHNICITY_INDIGENOUS;TAX_FNCACT_MINISTER;TAX_FNCACT_COMMISSIONERS;TAX_FNCACT_CRITIC;TAX_FNCACT_VICTIMS;CRISISLEX_CRISISLEXREC;CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;UNGP_CRIME_VIOLENCE;TAX_ETHNICITY_CANADIAN;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;UNGP_FORESTS_RIVERS_OCEANS;LEADER;TAX_FNCACT_PRIME_MINISTER;ELECTION;CRISISLEX_T11_UPDATESSYMPATHY;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;CRISISLEX_T02_INJURED;EPU_CATS_MIGRATION_FEAR_FEAR;RAPE;TAX_FNCACT_CHILD;WB_2960_INDIGENOUS_PEOPLES;WB_421_SOCIAL_INCLUSION;WB_899_SOCIAL_SAFEGUARDS;WB_749_INDIGENOUS_PEOPLES;WB_933_ETHNIC_RELIGIOUS_AND_OTHER_MINORITIES;WB_134_SOCIAL_DEVELOPMENT;CONSTITUTIONAL;
20151208153000,AFFECT;KILL;ETH_INDIGINOUS;TAX_FNCACT;TAX_FNCACT_WOMEN;GENERAL_GOVERNMENT;TAX_FNCACT_MINISTER;LEADER;TAX_FNCACT_PRIME_MINISTER;TAX_FNCACT_CHIEFS;TAX_ETHNICITY;TAX_ETHNICITY_INDIGENOUS;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;CRISISLEX_CRISISLEXREC;TAX_FNCACT_VICTIMS;CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE;CRISISLEX_T02_INJURED;SOC_GENERALCRIME;TAX_FNCACT_LEADER;USPEC_POLITICS_GENERAL1;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;EDUCATION;WB_470_EDUCATION;TAX_ETHNICITY_CANADIAN;
20150625210000,AFFECT;KILL;ETH_INDIGINOUS;TAX_FNCACT;TAX_FNCACT_WOMEN;SCANDAL;GENERAL_GOVERNMENT;WB_2203_HUMAN_RIGHTS;WB_2482_RECONCILIATION;WB_2519_RESPONSES_TO_HUMAN_RIGHTS_ABUSES;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOLS;TAX_ETHNICITY;TAX_ETHNICITY_INDIGENOUS;
20150302221500,AFFECT;KILL;ETH_INDIGINOUS;TAX_FNCACT;TAX_FNCACT_WOMEN;SOC_GENERALCRIME;TAX_FNCACT_MINISTERS;TAX_ETHNICITY;TAX_ETHNICITY_INDIGENOUS;TAX_FNCACT_MINISTER;GENERAL_GOVERNMENT;PROPERTY_RIGHTS;WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_1907_PERSONAL_PROPERTY_RIGHTS;WB_1039_PROPERTY_LAWS_AND_REGULATIONS;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;GENDER_VIOLENCE;DISCRIMINATION;WB_742_YOUTH_AND_GENDER_BASED_VIOLENCE;WB_2441_DOMESTIC_VIOLENCE;WB_738_SOCIAL_COHESION;WB_134_SOCIAL_DEVELOPMENT;LEADER;TAX_FNCACT_PRESIDENT;TRIAL;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVISTS;TAX_FNCACT_VICTIMS;TAX_ETHNICITY_CANADIANS;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;ALLIANCE;WB_135_TRANSPORT;SECURITY_SERVICES;TAX_FNCACT_POLICE;TAX_FNCACT_LEADERS;EDUCATION;WB_470_EDUCATION;WB_1406_DISEASES;WB_1437_SOCIAL_DETERMINANTS_FOR_HEALTH;WB_1438_ALCOHOL_AND_SUBSTANCE_ABUSE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY;WB_695_POVERTY;WB_701_JOBS_AND_POVERTY;WB_1170_JOB_CREATION_AND_JOB_OPPORTUNITIES;
20160803213000,AFFECT;KILL;ETH_INDIGINOUS;TAX_FNCACT;TAX_FNCACT_WOMEN;TAX_ECON_PRICE;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_ETHNICITY;TAX_ETHNICITY_CANADIAN;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;CRISISLEX_CRISISLEXREC;CRISISLEX_T02_INJURED;CRISISLEX_T03_DEAD;TAX_FNCACT_MINISTER;LEADER;TAX_FNCACT_PRIME_MINISTER;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;TAX_FNCACT_JUDGE;TAX_FNCACT_CHIEF;TAX_FNCACT_COMMISSIONER;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_CHIEF_COMMISSIONER;TAX_FNCACT_CHIEF_COMMISSIONER;APPOINTMENT;TAX_ETHNICITY_INDIGENOUS;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;UNGP_CRIME_VIOLENCE;DISCRIMINATION;DISCRIMINATION_RACE;DISCRIMINATION_RACE_RACISM;UNGP_FREEDOM_FROM_DISCRIMINATION;
